Vds_at_Vgs_0.4V,Id,Vds_at_Vgs_0.5V,Id,Vds_at_Vgs_0.6V,Id,Vds_at_Vgs_0.7V,Id,Vds_at_Vgs_0.8V,Id
0,-2.461417442888502e-13,0,-6.785119345431657e-13,0,-1.557667690571491e-12,0,-3.187308123678728e-12,0,-6.061677443488325e-12
0.016,7.302222495525756e-07,0.016,2.324334455913971e-06,0.016,4.339447626339195e-06,0.016,6.299960553066087e-06,0.016,8.035082981606153e-06
0.032,1.286911936118339e-06,0.032,4.346605220189579e-06,0.032,8.343644875218509e-06,0.032,1.228234753573065e-05,0.032,1.578182193785246e-05
0.048,1.697562600736632e-06,0.048,6.076790542947202e-06,0.048,1.200267870471046e-05,0.048,1.79233728270388e-05,0.048,2.32067082378175e-05
0.064,1.990333521399441e-06,0.064,7.527681297031079e-06,0.064,1.530764568787645e-05,0.064,2.319898754593586e-05,0.064,3.027579770285773e-05
0.08,2.193201490273411e-06,0.08,8.717232750288921e-06,0.08,1.825327686811293e-05,0.08,2.808693245383751e-05,0.08,3.695621705787729e-05
0.096,2.332124416757327e-06,0.096,9.670514965052131e-06,0.096,2.084126820720929e-05,0.096,3.256981776837611e-05,0.096,4.32186403090892e-05
0.112,2.428969134021783e-06,0.112,1.041996684187064e-05,0.112,2.308312567322495e-05,0.112,3.663840807747663e-05,0.112,4.904018021170401e-05
0.128,2.500270862707904e-06,0.128,1.100325313680659e-05,0.128,2.500137172613389e-05,0.128,4.029420355052205e-05,0.128,5.440707970655634e-05
0.144,2.557253027195263e-06,0.144,1.145913641497788e-05,0.144,2.662839738675862e-05,0.144,4.355048664793965e-05,0.144,5.931656489627185e-05
0.16,2.606763266845382e-06,0.16,1.182288460083331e-05,0.16,2.800311520082144e-05,0.16,4.64313915532842e-05,0.16,6.37773464117245e-05
0.176,2.65253936677547e-06,0.176,1.212299441335967e-05,0.176,2.916648520556754e-05,0.176,4.896920099401325e-05,0.176,6.780857646724387e-05
0.1920000000000001,2.69637851161945e-06,0.1920000000000001,1.238015223426755e-05,0.1920000000000001,3.015736756770573e-05,0.1920000000000001,5.120069051427383e-05,0.1920000000000001,7.14375114155e-05
0.2080000000000001,2.739015057170916e-06,0.2080000000000001,1.260810756909747e-05,0.2080000000000001,3.100976580401329e-05,0.2080000000000001,5.316357009931497e-05,0.2080000000000001,7.469650499749847e-05
0.2240000000000001,2.780681586559508e-06,0.2240000000000001,1.281545308084218e-05,0.2240000000000001,3.175172074812621e-05,0.2240000000000001,5.48938062666073e-05,0.2240000000000001,7.76200737650298e-05
0.2400000000000001,2.821418073107003e-06,0.2400000000000001,1.300741302920609e-05,0.2400000000000001,3.240547063800524e-05,0.2400000000000001,5.642407959494574e-05,0.2400000000000001,8.024258801424113e-05
0.2560000000000001,2.86121767132893e-06,0.2560000000000001,1.318720414160748e-05,0.2560000000000001,3.298828056660991e-05,0.2560000000000001,5.778319498625959e-05,0.2560000000000001,8.259679037138776e-05
